,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39
T3803,2303,2313,2317,2330,2357,2368,2376,2382,2454,2455,2881,2891,3008,3017,3034,3035,3037,3231,3443,3481,3529,3533,3653,3661,3711,4770,6121,6176,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4001,1476,1590,2303,2308,2330,2368,2376,2382,2454,2457,3017,3035,3037,3189,3324,3443,3532,3533,3596,3711,4961,6279,6415,6491,6670,6781,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4101,1560,1795,2313,2353,2356,2376,2382,2385,2449,2603,3017,3034,3035,3036,3037,3044,3217,3293,3529,3661,5269,6121,6239,8150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4112,2204,2211,2330,2368,2379,2382,2385,2404,2449,2458,2891,3017,3034,3044,3293,3661,5269,5536,6121,6176,6223,6239,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4209,1477,1590,2317,2330,2345,2368,2376,2382,2383,3008,3017,3034,3293,3529,3548,3653,3661,4966,5269,5274,5904,6290,6491,6538,6643,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4301,2059,2317,2330,2368,2376,2382,2383,2454,3017,3036,3042,3231,3293,3529,3533,3587,3592,3653,3661,5269,5274,6223,6515,6669,6781,6789,6805,8210,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4303,1519,2059,2301,2317,2330,2368,2376,2382,2383,2454,3017,3042,3231,3529,3533,3587,3653,3661,4938,5269,5483,6515,6669,6789,6805,8069,8210,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4502,1342,1476,2059,2317,2327,2330,2360,2368,2382,2383,2454,2603,3017,3034,3231,3413,3443,3479,3533,3563,3587,4536,4736,4770,6438,6781,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4510,2059,2317,2330,2368,2382,2383,2454,3008,3017,3231,3376,3413,3661,5269,6669,6805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4706,1513,2313,2330,2345,2368,2382,2383,2455,3017,3035,3037,3131,3231,3529,3533,3587,3661,3680,4768,4979,5269,5274,6274,6515,6669,6679,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4712,1590,2059,2345,2368,2376,2383,2455,3017,3035,3293,3483,3491,3529,3548,3587,3680,3715,4163,4768,4979,5274,6442,6472,6515,6526,6531,6643,6719,6805,8112,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4720,2049,2330,2345,2368,2376,2382,2383,2455,2492,3017,3035,3131,3231,3529,3548,3587,3653,3661,3680,4768,4953,4979,5269,5274,6472,6515,6526,6531,6679,6719,6789,6805,8069,NA,NA,NA,NA,NA,NA
T4801,1319,2059,2317,2330,2379,2382,2385,2449,2454,2891,3017,3034,3293,3324,3533,3711,6121,6176,6239,8299,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4816,2059,2313,2317,2330,2379,2382,2449,2454,2891,3017,3034,3293,3324,3533,3711,6121,6223,6239,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T5001,1503,1560,2317,2330,2360,2379,2382,2454,3017,3034,3324,3529,3533,3661,4770,4961,5269,6187,6414,6462,6785,6805,8069,8299,9914,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
