,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47
T2578,1102,1605,2002,2049,2301,2303,2308,2317,2330,2345,2357,2377,2382,2454,2492,2610,2882,2885,2886,2891,3034,3045,3532,3711,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2620,1532,1752,1760,2027,2303,2379,2383,2409,2707,2732,3005,3034,3443,3479,3491,3533,3587,3624,3661,3680,4966,5388,5903,6443,6669,6732,8028,8299,8358,8478,9802,9939,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2701,1102,2006,2301,2303,2330,2347,2351,2357,2376,2382,2408,2409,2412,2449,2454,2542,2548,2637,2881,3037,3231,3533,3661,3702,5425,5483,5904,6138,6239,6443,6488,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2703,1519,2049,2303,2330,2345,2351,2454,3037,3260,3443,3529,3533,3653,3661,3680,4137,4919,5269,5274,5425,6138,6443,6488,6679,6712,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3101,1303,1477,2303,2308,2317,2330,2345,2351,2368,2379,2408,2412,2454,2881,2882,2883,2890,2891,3008,3023,3037,3105,3529,3533,3661,3680,5274,5871,6669,6719,8069,8454,8464,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3201,1216,2303,2308,2330,2351,2454,2912,3017,3443,3529,3533,3653,3661,4919,4966,5274,5483,6488,6781,8069,8464,9802,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3203,1476,2308,2330,2344,2345,2351,2368,2376,2454,3008,3017,3034,3231,3443,3529,3533,3653,3661,3680,4129,4919,4966,5269,5274,5871,6515,6679,6781,8069,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3205,1752,1762,2330,3017,3131,3231,3443,3529,3533,3653,3661,3708,4129,4739,4919,4966,5274,5457,6285,6515,6679,6781,8046,8081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3207,1476,2308,2330,2345,2351,2368,2382,2421,2454,3008,3017,3443,3481,3529,3533,3653,3661,3680,3708,4919,5274,6121,6488,6679,6781,8046,8069,9910,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3218,1476,1590,2308,2330,2345,2351,2376,2421,2454,3008,3017,3023,3443,3529,3533,3653,3661,3675,3680,3708,4919,4966,5269,5274,6271,6510,6515,6669,6679,6781,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3223,1476,2308,2330,2344,2345,2351,2368,2376,2454,3008,3017,3034,3231,3443,3529,3533,3653,3661,3680,4129,4919,4966,5269,5274,5871,6515,6679,6781,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3228,1752,1762,2330,3017,3131,3231,3443,3481,3529,3533,3653,3661,3708,4129,4739,4919,4966,5274,5457,6285,6515,6679,6781,8046,8081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3236,1301,2002,2006,2308,2330,2376,2377,2382,2393,2449,2454,2458,2548,2603,3034,3042,3661,3680,3708,4919,5274,5483,6121,6274,6491,6515,6679,8069,8081,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3303,1513,2014,2031,2049,2308,2330,2368,2408,2454,3008,3034,3037,3533,3624,3653,3675,4977,4979,6235,6271,6712,6782,8069,8349,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3601,1590,1605,2049,2303,2330,2345,2368,2455,2753,3008,3017,3023,3034,3037,3454,3529,3533,3653,3661,3675,4919,5269,5274,6409,6469,6515,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3604,2049,2303,2330,2338,2345,2360,2376,2379,3017,3034,3035,3037,3529,3533,3653,3661,4919,4966,5269,5274,6147,6446,8069,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3619,1476,1513,2031,2049,2201,2303,2330,2338,2345,3008,3017,3034,3035,3037,3443,3481,3529,3533,3653,3661,3675,5009,6446,6515,8069,8358,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3701,1477,1605,2303,2308,2330,2338,2345,2360,2383,2731,3017,3034,3035,3042,3406,3443,3481,3529,3533,3653,3661,3680,4137,4904,4919,4961,5274,6138,6223,6491,6515,6531,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3703,1476,1477,2303,2330,2345,2383,2731,3017,3034,3042,3406,3443,3481,3529,3533,3653,3661,3680,4137,4768,4919,4961,5274,5289,6121,6223,6415,6472,6491,6515,6531,6669,8069,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3707,2303,2330,2338,2345,2387,2481,3035,3264,3406,3413,3443,3481,3529,3533,3653,3661,3680,4919,5274,5289,5425,6138,6223,6271,6415,6515,6531,6669,8069,8155,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3714,1477,1605,2303,2308,2330,2338,2345,2360,2383,2731,3017,3034,3035,3042,3406,3443,3481,3529,3533,3653,3661,3680,4137,4919,4961,5274,6138,6223,6515,6531,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3786,1216,1477,1707,2233,2330,2345,2352,2376,2383,2454,2731,2886,2891,2892,3017,3023,3034,3035,3042,3044,3045,3443,3533,3653,3661,3680,4904,4961,5457,5483,6121,6223,6531,6669,9941,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3803,1216,1513,2002,2303,2308,2317,2327,2330,2344,2345,2368,2376,2408,2454,2881,2891,2892,2912,3017,3023,3034,3231,3260,3443,3529,3653,3661,3665,4966,5871,5904,6669,6781,8016,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4001,1605,2303,2308,2313,2317,2330,2368,2376,2454,3008,3017,3037,3189,3324,3413,3443,3532,3533,3596,4551,4919,6279,6415,6670,6781,8069,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4101,1301,1519,2002,2303,2330,2344,2408,2729,2755,2881,2891,3006,3008,3027,3088,5222,5388,5483,5904,6206,6284,6533,6612,6811,8215,8938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4112,1301,2002,2303,2308,2330,2344,2408,2420,2454,2476,2634,2707,2881,2891,3008,3376,3481,3529,3533,4104,4953,5388,5483,5904,6125,6197,6245,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4209,1590,2059,2301,2308,2330,2368,2382,2409,2548,2618,2707,2891,3008,3017,3023,3293,3406,3416,3533,3558,3665,5269,5289,5306,5388,5904,6121,6285,6491,6669,8299,9911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4301,1308,1513,1514,1590,2049,2327,2338,2376,2383,2395,2454,3227,3264,3413,3529,3653,3661,3665,3675,4958,4968,5269,5274,5871,6138,6213,6409,6415,8155,8454,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4303,2201,2308,2327,2330,2338,2345,2368,2376,2454,2634,3008,3034,3293,3443,3455,3529,3533,3558,3587,3591,3653,3661,3675,4763,5274,5425,6245,6414,6415,6515,6531,6589,6806,8069,8454,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4502,1215,1476,1560,1707,2303,2308,2327,2330,2360,2454,2707,3008,3022,3081,3131,3443,3479,3533,3653,4551,4736,4770,5274,5288,6146,6245,6589,8046,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4510,2303,2308,2327,2330,2345,2377,2454,3023,3034,3042,3217,3293,3443,3529,3533,3592,3653,3661,3665,4126,4163,5274,5288,5289,5425,5483,6285,6412,6830,8046,8069,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4706,2330,2338,2344,2351,2368,2497,2707,2732,3017,3035,3037,3131,3260,3479,3533,3587,3661,3680,4541,4746,5274,5285,5483,6223,6443,6679,6799,6806,8069,8358,8478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4712,1712,2337,2338,2454,3035,3037,3293,3413,3479,3587,3680,4966,5274,6223,6515,8069,8422,8478,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4720,1589,1760,2330,2338,2356,2368,2454,2731,2732,3017,3034,3035,3131,3406,3443,3454,3479,3529,3533,3624,3653,3661,3680,4746,4953,5269,5274,5285,6290,6472,6488,6515,6679,6719,6799,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4801,1513,1795,1796,2301,2308,2330,2345,2368,2634,3017,3289,3293,3443,3529,3533,3587,3653,3661,4164,4536,5009,5288,5425,8050,8069,8109,8938,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4816,2301,2308,2327,2330,2345,2368,2404,3004,3017,3023,3034,3289,3293,3443,3529,3533,3587,3653,3661,5009,5288,5425,6515,8050,8069,8109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T5001,1504,1513,1590,2049,2330,2449,2455,2457,2634,2727,3006,3034,3443,3491,4966,5009,5269,5274,5309,5347,5371,6515,6531,6533,6732,8086,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
