,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43
T2205,1503,1513,1519,1795,2301,2308,2330,2345,2356,2360,2368,2376,2382,2408,2449,2457,2618,2634,2727,2731,3017,3037,3231,3443,3529,3653,3661,4979,5289,8210,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2208,1503,1513,1795,2059,2301,2308,2330,2368,2376,2382,2383,2408,2449,2707,2731,2753,3017,3023,3035,3037,3218,3260,3443,3529,3533,3587,3653,3661,5009,5289,6515,8069,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2210,1503,1513,1795,2059,2301,2308,2330,2368,2376,2382,2383,2408,2449,2707,2731,2753,3017,3023,3035,3037,3260,3443,3529,3533,3587,3653,3661,5009,5289,6205,6515,8069,8210,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2216,1513,1795,2301,2308,2330,2345,2368,2376,2382,2383,2707,2727,2731,3017,3260,3443,3515,3529,3533,3587,3653,3661,5274,6669,8069,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T22C2,1476,1513,1795,2059,2308,2327,2330,2376,2383,2753,3017,3037,3406,3443,3529,3533,3653,3661,6472,6488,6515,6679,6781,8046,8069,8299,9802,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2501,1301,1477,1503,2303,2308,2317,2330,2368,2376,2379,2382,2408,2454,3008,3034,3037,3231,3483,3515,3533,3624,3653,3661,3665,3711,4966,5269,5274,5285,6669,8046,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2506,1301,1477,1503,1590,1795,2027,2308,2330,2345,2351,2368,2376,2377,2385,2892,3008,3017,3034,3037,3231,3529,3533,3653,3661,3680,4966,5269,5274,6533,6669,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2520,1503,2303,2308,2317,2330,2344,2345,2368,2376,2408,2454,3008,3034,3037,3515,3529,3533,3624,3653,3661,3711,5269,5274,5285,6669,8028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2578,1102,1476,1605,2002,2049,2303,2308,2317,2330,2357,2382,2408,2454,2492,2610,2882,2885,2886,2891,3034,3045,3711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2620,1476,1504,1532,1560,1605,1795,2207,2301,2327,2351,2356,2368,2376,2383,2455,2610,2707,3017,3037,3406,3533,3548,3661,3680,3711,4164,5269,5425,5904,8028,8069,8299,9910,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2701,1102,2006,2301,2303,2330,2347,2357,2376,2382,2408,2409,2412,2449,2454,2548,2618,2891,3037,3231,3443,3653,3661,3702,5425,5483,6138,6239,6669,6781,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2703,1503,1504,1519,2301,2308,2330,2345,2376,2382,2455,2618,3017,3037,3231,3260,3443,3529,3653,3661,3680,4968,5274,6138,6515,6669,6781,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3101,1303,1477,2301,2303,2308,2317,2330,2345,2351,2360,2368,2379,2457,2881,2882,2890,2891,3008,3017,3023,3037,3231,3529,3661,3680,5222,5274,5871,6531,6669,6719,8069,8299,8454,8464,9910,NA,NA,NA,NA,NA,NA,NA
T3201,2308,2330,2351,2376,2382,2912,3017,3231,3443,3529,3533,3653,3661,4919,4966,5274,5483,6488,6515,6781,8069,8464,9802,9914,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3203,1519,2308,2330,2368,2376,2382,2455,3008,3017,3037,3231,3443,3529,3533,3653,3661,3680,4129,4966,5269,5274,5871,6515,6669,6679,8069,9802,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
