instrument,datetime,open,high,low,close,volume
9958,2022-08-03,93.2328,95.1258,92.7595,94.5579,1306447
9958,2022-08-04,93.8954,94.274,90.2986,92.0023,2816923
9958,2022-08-05,92.8542,93.8007,92.3809,93.6114,853416
9958,2022-08-08,92.2863,95.1258,92.2863,94.6526,1163862
9958,2022-08-09,94.5579,96.0724,94.3686,95.5991,756948
9958,2022-08-10,95.1258,97.0189,95.1258,95.5991,805886
9958,2022-08-11,94.1793,94.4633,93.4221,93.8007,1766339
9958,2022-08-12,92.7595,96.0724,92.7595,94.6526,1497916
9958,2022-08-15,95.1258,96.0724,94.3686,95.5991,1158454
9958,2022-08-16,94.6526,95.1258,92.2863,92.4756,3117495
9958,2022-08-17,90.7718,91.5291,83.2943,83.2943,15001690
9958,2022-08-18,82.5371,83.1996,76.8579,79.4135,13355667
9958,2022-08-19,79.8868,81.9691,78.8456,81.8745,5227977
9958,2022-08-22,80.4547,81.8745,79.8868,81.5905,2100539
9958,2022-08-23,81.3066,82.821,80.644,81.9691,2109911
9958,2022-08-24,82.1584,84.5248,82.1584,83.4836,2450029
9958,2022-08-25,83.9568,84.2408,82.821,83.0103,1723042
9958,2022-08-26,83.5782,84.0515,81.4012,81.4959,2862130
9958,2022-08-29,78.751,81.0226,78.6563,80.8333,1438103
9958,2022-08-30,80.8333,82.2531,80.644,81.8745,675303
9958,2022-08-31,81.6852,82.821,81.6852,82.6317,962866
9958,2022-09-01,82.7264,82.7264,80.644,80.7387,1374137
9958,2022-09-02,80.7387,81.4959,79.6028,80.0761,1137631
9958,2022-09-05,79.9814,80.4547,78.5616,78.5616,1182471
9958,2022-09-06,78.8456,79.0349,77.1419,77.6151,1525642
9958,2022-09-07,77.9937,78.3723,76.006,76.1953,2099285
9958,2022-09-08,77.0472,78.9403,77.0472,78.751,1305456
9958,2022-09-12,78.2777,79.4135,76.3846,79.2242,2418493
9958,2022-09-13,78.8456,79.9814,78.3723,79.0349,1161915
9958,2022-09-14,77.6151,78.467,77.1419,78.0884,952993
9958,2022-09-15,78.183,79.0349,78.0884,78.3723,703706
9958,2022-09-16,78.3723,79.2242,77.5205,77.5205,1262401
9958,2022-09-19,77.8991,78.6563,76.3846,76.4793,1281167
9958,2022-09-20,77.4524,77.4524,76.5678,76.5678,1063345
9958,2022-09-21,76.0763,79.025,76.0763,76.9609,1781019
9958,2022-09-22,76.5678,76.5678,74.7002,74.8968,2691224
9958,2022-09-23,74.7002,74.8968,69.196,69.196,5454624
9958,2022-09-26,68.508,68.9994,65.1661,65.2644,5345499
9958,2022-09-27,65.2644,66.149,63.7901,65.6576,3688691
9958,2022-09-28,65.3627,66.3456,61.2345,61.9226,4777785
9958,2022-09-29,63.8884,64.773,60.9397,61.038,4412914
9958,2022-09-30,59.1705,62.0209,58.8756,61.726,3261142
9958,2022-10-03,60.9397,63.2986,60.7431,62.5123,1931648
9958,2022-10-04,63.9867,64.6747,62.6106,64.2815,1776687
9958,2022-10-05,64.8713,66.0507,64.4781,65.0678,1552935
9958,2022-10-06,65.8542,66.0507,64.2815,64.8713,1186665
9958,2022-10-07,64.1832,65.8542,64.1832,64.8713,860700
9958,2022-10-11,64.8713,66.3456,62.6106,65.6576,2406974
9958,2022-10-12,64.773,65.2644,63.2986,64.1832,1704479
9958,2022-10-13,64.1832,64.4781,62.1192,62.3157,1419759
9958,2022-10-14,63.6918,65.1661,63.6918,64.2815,1106042
9958,2022-10-17,63.6918,63.6918,61.9226,63.6918,1474291
9958,2022-10-18,64.2815,65.1661,64.0849,65.1661,1066288
9958,2022-10-19,65.5593,71.0635,65.461,69.196,5773973
9958,2022-10-20,68.4097,71.1618,66.8371,70.3755,4456079
9958,2022-10-21,69.884,72.7345,69.884,72.3413,5444972
9958,2022-10-24,73.8156,77.1575,73.1276,76.7643,6617262
9958,2022-10-25,77.6489,78.6318,74.7002,78.6318,9668910
9958,2022-10-26,78.4353,79.025,76.2729,78.6318,5282743
9958,2022-10-27,78.5336,79.9096,77.2558,79.8113,4495694
9958,2022-10-28,79.5164,80.4011,79.1233,79.4182,2217343
9958,2022-10-31,80.3028,80.3028,75.6831,75.6831,6231522
9958,2022-11-01,75.5849,77.9438,75.5849,77.5507,2793863
9958,2022-11-02,77.5507,78.337,76.666,77.3541,1977257
9958,2022-11-03,76.2729,78.0421,76.0763,77.0592,1703560
9958,2022-11-04,75.978,77.7472,75.978,77.1575,1252704
9958,2022-11-07,77.0592,78.2387,76.9609,78.0421,1311295
9958,2022-11-08,78.0421,80.5976,78.0421,78.8284,2812109
9958,2022-11-09,79.6147,80.0079,76.8626,76.9609,3398100
9958,2022-11-10,76.1746,79.025,76.1746,78.2387,2294854
9958,2022-11-11,79.6147,79.6147,76.7643,77.1575,2836195
9958,2022-11-14,76.8626,80.5976,76.8626,80.3028,3917778
9958,2022-11-15,81.0891,81.8754,79.8113,80.4011,3363802
9958,2022-11-16,80.6959,81.8754,78.1404,80.4993,4594597
9958,2022-11-17,80.3028,81.1874,79.6147,80.5976,2004170
9958,2022-11-18,80.5976,81.1874,78.1404,78.1404,2075349
