,instrument,datetime,open,high,low,close,volume
282,Y9999,2022-12-21,14205.06,14291.98,14197.86,14234.4,5608140000
283,Y9999,2022-12-22,14323.04,14442.94,14323.04,14442.94,5575432000
284,Y9999,2022-12-23,14318.12,14318.12,14192.98,14271.63,4245235000
285,Y9999,2022-12-26,14271.2,14301.11,14253.2,14285.13,3106471000
286,Y9999,2022-12-27,14310.19,14410.24,14310.19,14328.43,3659061000
287,Y9999,2022-12-28,14249.83,14249.83,14119.3,14173.1,4430499000
288,Y9999,2022-12-29,14097.51,14120.57,13981.63,14085.02,4180927000
289,Y9999,2022-12-30,14183.52,14248.9,14137.69,14137.69,3496035000
290,Y9999,2023-01-03,14108.16,14237.94,14001.97,14224.12,4427323000
291,Y9999,2023-01-04,14186.95,14257.45,14177.97,14199.13,4516111000
292,Y9999,2023-01-05,14285.12,14357.6,14270.93,14301.05,4699844000
293,Y9999,2023-01-06,14278.52,14384.92,14278.52,14373.34,4361333000
294,Y9999,2023-01-09,14504.47,14752.21,14504.47,14752.21,6095905000
295,Y9999,2023-01-10,14796.27,14816.13,14728.56,14802.96,4629202000
296,Y9999,2023-01-11,14822.86,14842.74,14734.44,14751.44,3994253000
297,Y9999,2023-01-12,14780.58,14813.31,14700.73,14731.64,3765175000
298,Y9999,2023-01-13,14923.05,14962.31,14822.15,14824.13,3918527000
299,Y9999,2023-01-16,14895.26,14960.92,14895.26,14927.01,3571501000
300,Y9999,2023-01-17,14922.34,14945.23,14884.78,14932.93,3360505000
301,Y9999,2023-01-30,15291.53,15493.82,15291.53,15493.82,6919326000
302,Y9999,2023-01-31,15419.21,15441.98,15265.2,15265.2,6170613000
303,Y9999,2023-02-01,15346.35,15420.13,15291.68,15420.13,5598484000
304,Y9999,2023-02-02,15508.83,15602.09,15496.52,15595.16,6557794000
305,Y9999,2023-02-03,15591.95,15617.73,15504.03,15602.66,5360074000
306,Y9999,2023-02-06,15514.8,15514.8,15392.82,15392.82,4662408000
307,Y9999,2023-02-07,15376.12,15462.1,15363.65,15400.91,4292987000
308,Y9999,2023-02-08,15538.71,15631.22,15520.05,15618.17,5255236000
309,Y9999,2023-02-09,15590.0,15617.34,15553.84,15598.71,4366230000
310,Y9999,2023-02-10,15627.33,15628.3,15546.11,15586.65,4597233000
311,Y9999,2023-02-13,15564.76,15569.99,15465.56,15544.28,4154146000
312,Y9999,2023-02-14,15584.74,15669.63,15584.74,15654.48,4217899000
313,Y9999,2023-02-15,15497.67,15553.68,15388.85,15432.89,5089910000
314,Y9999,2023-02-16,15474.46,15585.48,15474.46,15550.5,5618302000
315,Y9999,2023-02-17,15503.75,15503.75,15418.43,15479.7,5043332000
316,Y9999,2023-02-20,15452.01,15575.32,15436.66,15551.23,5273643000
317,Y9999,2023-02-21,15535.64,15567.74,15496.73,15563.0,5253377000
318,Y9999,2023-02-22,15541.17,15541.17,15345.93,15418.77,5402433000
319,Y9999,2023-02-23,15463.46,15657.63,15463.46,15615.41,5872036000
320,Y9999,2023-02-24,15669.88,15717.96,15503.79,15503.79,5901107000
321,Y9999,2023-03-01,15435.38,15617.03,15387.38,15598.49,5674842000
322,Y9999,2023-03-02,15580.28,15618.06,15492.37,15598.72,4940073000
323,Y9999,2023-03-03,15621.36,15713.42,15606.85,15608.42,5370269000
324,Y9999,2023-03-06,15675.28,15818.88,15675.28,15763.51,6090623000
325,Y9999,2023-03-07,15763.87,15879.16,15749.04,15857.89,5513326000
326,Y9999,2023-03-08,15819.18,15821.49,15740.98,15818.2,6050588000
327,Y9999,2023-03-09,15827.98,15878.75,15770.66,15770.66,5887831000
328,Y9999,2023-03-10,15729.29,15729.29,15488.71,15526.2,7209043000
329,Y9999,2023-03-13,15514.03,15571.17,15349.67,15560.49,6154789000
330,Y9999,2023-03-14,15517.74,15517.74,15348.12,15360.42,6129081000
331,Y9999,2023-03-15,15425.99,15526.73,15387.59,15387.59,5636769000
332,Y9999,2023-03-16,15334.25,15334.25,15186.74,15221.12,6688306000
333,Y9999,2023-03-17,15337.97,15452.96,15337.97,15452.96,6140104000
334,Y9999,2023-03-20,15454.75,15488.98,15399.07,15419.97,4966795000
335,Y9999,2023-03-21,15437.95,15547.97,15437.95,15513.45,5007468000
336,Y9999,2023-03-22,15535.17,15760.46,15535.17,15760.46,5527343000
337,Y9999,2023-03-23,15711.6,15882.75,15680.84,15863.95,5396335000
338,Y9999,2023-03-24,15869.84,15921.97,15845.99,15914.7,5594716000
339,Y9999,2023-03-27,15873.67,15902.06,15821.63,15830.31,5112209000
340,Y9999,2023-03-28,15790.7,15846.54,15685.59,15701.48,4785305000
341,Y9999,2023-03-29,15766.29,15811.2,15681.1,15769.76,4465210000
342,Y9999,2023-03-30,15824.65,15885.21,15791.75,15849.43,4344704000
343,Y9999,2023-03-31,15874.19,15951.8,15857.19,15868.06,4855726000
344,Y9999,2023-04-06,15838.07,15838.07,15733.29,15810.77,5051314000
345,Y9999,2023-04-07,15856.19,15877.99,15811.19,15836.5,4238950000
346,Y9999,2023-04-10,15850.94,15919.76,15850.94,15876.17,4356302000
347,Y9999,2023-04-11,15886.46,15945.63,15838.1,15913.88,5018999000
348,Y9999,2023-04-12,15914.15,15944.32,15867.02,15932.97,5435877000
349,Y9999,2023-04-13,15888.63,15913.2,15800.42,15804.76,6279791000
350,Y9999,2023-04-14,15854.25,15973.82,15854.25,15929.43,6048915000
351,Y9999,2023-04-17,15934.64,15963.55,15894.77,15963.55,5899214000
352,Y9999,2023-04-18,15967.89,15967.89,15851.71,15869.44,5778934000
353,Y9999,2023-04-19,15874.65,15915.39,15756.75,15770.47,5795511000
354,Y9999,2023-04-20,15771.45,15804.38,15686.54,15707.52,5539416000
355,Y9999,2023-04-21,15776.54,15802.93,15592.96,15602.99,6056927000
356,Y9999,2023-04-24,15555.1,15643.86,15529.39,15626.87,4628032000
357,Y9999,2023-04-25,15606.83,15639.49,15353.22,15370.73,6476866000
