,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44
T3207,1477,2059,2313,2330,2357,2368,2376,2382,2383,2421,2455,3017,3035,3231,3443,3529,3661,4770,5269,5274,6285,6643,6669,6805,6829,8464,9910,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3218,1477,1519,2313,2330,2357,2368,2382,2383,2421,2455,3017,3035,3037,3231,3443,3529,3653,3661,3675,3711,4770,5269,5274,6239,6285,6669,6805,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3219,1519,2313,2330,2357,2368,2382,2383,2421,2455,3017,3035,3037,3231,3443,3529,3653,3661,3675,3711,4770,5269,5274,6239,6285,6669,6805,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3236,1519,2308,2368,2382,2451,2454,2548,2603,2637,3034,3042,3443,3661,3680,3711,5269,6121,6147,6176,6285,6669,6670,8069,8112,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3303,2303,2313,2330,2345,2368,2376,2383,2408,2412,2454,2455,2731,3008,3017,3037,3044,3443,3529,3548,3587,3661,4966,5274,6488,6531,6643,6669,8086,8299,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3601,1477,1519,2330,2345,2368,2382,2383,2408,2455,3017,3037,3362,3443,3529,3533,3587,3653,3661,3675,4979,5274,6415,6515,6669,6683,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3604,2301,2303,2327,2330,2345,2382,2383,2454,2455,3017,3034,3035,3037,3529,3533,3653,3661,5269,5274,5388,6415,6669,6781,6789,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3619,1519,2330,2345,2382,2383,2408,2449,2454,2603,2618,3017,3035,3037,3443,3529,3533,3653,3661,3675,4979,5274,6515,6643,6669,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3701,1319,1519,2204,2330,2345,2357,2368,2376,2383,3008,3017,3044,3217,3529,3533,3653,3661,3680,3715,4746,4966,5269,5425,5439,5483,6143,6187,6274,6415,6515,6669,6719,6805,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3703,1519,2204,2330,2345,2357,2368,2376,2382,2383,3008,3017,3044,3217,3529,3533,3653,3661,3680,3715,4572,4746,4768,4966,5269,5425,5439,5483,6274,6515,6669,6805,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3707,1519,2330,2345,2368,2376,2383,3008,3017,3044,3217,3529,3533,3653,3661,3680,3715,4746,4966,5425,5439,5483,6143,6187,6274,6415,6515,6669,6719,6805,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3786,1319,1477,2204,2301,2303,2330,2345,2376,2382,2383,2385,2454,2881,2891,3008,3017,3034,3036,3044,3217,3526,3653,3661,3680,4572,4915,5483,5871,6121,6187,6515,6669,9941,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3803,2303,2313,2317,2324,2327,2330,2345,2357,2368,2382,2454,2603,2881,2882,2891,3008,3017,3034,3035,3037,3044,3231,3324,3443,3529,3653,3661,3711,5289,6239,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4001,1476,1519,1590,2303,2308,2330,2368,2376,2454,3017,3035,3037,3189,3218,3324,3443,3532,3533,3596,3707,3711,4919,4961,6279,6670,6781,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4101,1560,1795,2353,2356,2449,2454,2455,2458,3035,3037,3044,3529,3533,3661,4572,5269,5274,6121,6415,6531,6585,6643,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4112,1477,2204,2308,2330,2345,2368,2379,2404,2449,2454,2458,3014,3034,3044,3217,3260,3293,3376,3661,3680,5269,6197,6223,6239,6531,6643,6679,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4209,1319,1477,2301,2308,2330,2345,2368,2376,2382,2383,3008,3017,3023,3034,3293,3324,3443,3529,3661,4966,5269,5904,6538,6643,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4301,2014,2059,2330,2345,2368,2376,2382,2383,2454,2455,2609,3008,3017,3152,3231,3443,3529,3587,3653,3661,3693,3715,4966,5269,5274,6231,6515,6669,6679,6805,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4303,2014,2059,2327,2330,2345,2368,2376,2383,2454,2609,3008,3017,3037,3231,3443,3529,3587,3653,3661,3693,3715,4966,5269,5274,6231,6515,6669,6679,6805,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4502,2002,2059,2313,2327,2330,2376,2382,2383,2454,3008,3017,3443,3479,3533,3563,3665,4536,4551,4572,4736,4770,4966,6223,6781,8210,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4510,2059,2313,2327,2330,2345,2368,2376,2382,2383,2449,2454,3008,3017,3037,3231,3443,3533,3661,5269,6223,6285,6669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4706,1513,2313,2330,2345,2368,2382,2383,2455,3017,3035,3037,3131,3231,3491,3529,3533,3587,3661,3680,4572,4768,4979,5269,5274,6274,6291,6510,6515,6669,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4712,1590,2059,2345,2368,2383,2455,3017,3035,3293,3443,3491,3529,3548,3587,3680,3715,4163,4768,4770,4979,5274,6515,6526,6531,6643,6669,6719,6756,6781,6805,8112,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4720,1795,2330,2345,2368,2382,2383,2455,3017,3035,3131,3231,3443,3529,3548,3587,3653,3661,3680,4768,4953,4979,5269,5274,6510,6515,6526,6531,6679,6719,6756,6781,6805,8155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4801,1319,1476,2313,2327,2330,2345,2439,2449,2454,2891,3008,3034,3217,3293,3324,3529,3533,3596,3661,3711,5388,6121,6176,6239,6285,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4816,2313,2327,2330,2355,2379,2439,2449,2454,3008,3034,3217,3293,3324,3529,3533,3596,3661,3711,5388,6121,6176,6239,6285,8210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T5001,1532,1560,2059,2357,2371,2376,2382,2603,2609,2636,3008,3017,3034,3035,3211,3406,3515,3533,3653,4968,5269,5425,6462,6546,6669,6781,6799,8054,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
