,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43
T3218,1476,1707,1752,2308,2330,2345,2376,2421,2609,2729,3008,3017,3023,3443,3529,3533,3653,3661,3680,4129,4919,5269,5274,5347,6412,6491,6510,6781,8028,8069,8454,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3236,1301,1305,1308,2002,2006,2330,2377,2382,2393,2449,2454,2458,2548,3008,3034,3042,3661,4919,5274,5483,6121,6274,6491,6679,8069,8464,9933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3303,1513,2059,2233,2308,2317,2330,2368,2408,2454,3008,3017,3034,3037,3443,3533,3653,3661,3665,3675,4551,6235,6279,6683,6781,8028,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3601,1476,1477,1605,2014,2027,2301,2303,2308,2327,2330,2345,2368,2376,2606,2609,2753,2886,3017,3023,3034,3037,3529,3533,3653,5009,6213,6409,6446,6469,6491,8046,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3604,1402,2303,2308,2317,2330,2345,2368,2376,2383,2474,2603,3017,3034,3035,3037,3443,3529,3533,3661,4919,5274,5347,6446,8046,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3619,1513,1605,2301,2303,2308,2330,2338,2345,2368,2603,2891,3017,3034,3035,3037,3529,3533,3653,3661,3711,4770,5009,6446,6515,8046,8069,8299,8454,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3701,1477,2201,2308,2330,2338,2345,2360,2368,2379,2383,2412,2455,2618,2731,3008,3017,3042,3406,3529,3533,3653,3680,4137,4770,4904,5274,6223,6271,6491,6669,6782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3703,1476,1477,2330,2345,2351,2368,2383,2454,2455,2731,3008,3017,3035,3042,3406,3529,3533,3653,3661,3680,4137,4768,4966,5274,6121,6223,6271,6415,6488,6491,6669,8454,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3707,2330,2338,2345,2379,2387,2481,3264,3406,3413,3529,3533,3653,3661,3680,4919,5274,5425,6223,6271,6415,6669,6719,6782,8155,8454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3714,1477,2201,2308,2330,2338,2345,2360,2368,2379,2383,2412,2455,2618,2731,3008,3017,3042,3406,3529,3533,3653,3680,4137,4770,5274,6223,6271,6491,6669,6782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3786,1216,1476,1477,1707,2233,2330,2345,2352,2368,2376,2383,2707,2731,2886,2891,2892,2912,3017,3023,3042,3045,3533,3653,3680,4904,5457,5483,6121,6669,6782,9933,9941,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3803,1301,2059,2301,2308,2317,2330,2345,2376,2395,2408,2412,2454,2610,2881,2884,2886,2891,2892,2912,3023,3443,3529,3533,3653,3661,3665,4551,4958,5871,6669,6781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4001,2303,2308,2313,2317,2330,2368,2376,2454,3008,3017,3037,3189,3324,3413,3443,3596,3665,4551,4919,6271,6279,6670,6781,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4101,1301,1519,2002,2303,2330,2748,2891,3006,3027,3035,4572,5222,5388,5483,5904,6206,6284,6533,6569,6612,6811,8046,8210,8215,8938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4112,1301,1720,2002,2303,2308,2330,2377,2420,2454,2634,2636,2707,2884,2891,3029,3035,3481,3529,3533,4104,4572,5388,5483,5904,6125,6197,6245,8046,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4209,1590,2059,2308,2313,2330,2368,2439,2548,2723,2891,3008,3023,3042,3293,3416,3533,3558,3665,5269,5306,5904,6121,6271,6279,6285,6456,6491,6669,8299,9911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4301,1476,1477,1590,2207,2308,2327,2615,2636,3003,3005,3008,3022,3227,3413,3455,3484,3533,3653,3661,3665,4721,4958,5215,5288,5871,6121,6269,6414,6415,6532,9910,9941,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4303,1476,2059,2201,2207,2301,2308,2313,2317,2327,2345,2368,2376,2615,2634,3293,3455,3533,3558,3587,3596,3653,4105,4763,5274,5288,5388,5425,6245,6414,6415,6472,6515,6782,6806,8069,9910,9958,NA,NA,NA,NA,NA,NA
T4502,1476,1605,1795,2308,2330,2360,2421,2707,3003,3022,3088,3131,3443,3479,3533,3653,4107,4163,4536,4551,4736,4770,5288,5904,6146,6245,6279,6491,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4510,2059,2303,2308,2317,2330,2345,2368,2377,2707,2753,2912,3008,3023,3037,3293,3443,3533,3592,3653,3661,4107,4163,5288,5289,5483,6271,6279,6285,6412,6669,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4706,1590,2006,2031,2313,2330,2345,2368,2497,2606,2748,3003,3035,3037,3131,3152,3533,3587,3661,3680,3708,4572,5483,6138,6271,6279,6488,6679,6741,8069,8422,8478,9942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4712,1712,2337,2338,2454,3035,3037,3293,3413,3587,3680,4966,5274,6223,6515,8069,8422,8478,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4720,1760,2027,2313,2330,2338,2345,2368,2376,2454,3017,3034,3035,3037,3131,3152,3454,3479,3533,3653,3661,3665,3680,3708,4743,4953,5269,5274,6271,6278,6477,6488,6589,6679,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4801,1795,2308,2313,2317,2327,2330,2345,2368,2383,2603,2890,2892,3008,3017,3289,3533,3653,5288,6279,6285,6488,6669,8046,8050,8938,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T4816,2308,2313,2317,2327,2330,2345,2368,2383,2603,3008,3017,3289,3533,3653,6279,6285,6488,6669,8046,8050,8069,8109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T5001,1476,1477,1513,1590,2308,2327,2330,2360,2409,2457,2634,2707,2748,2753,3034,3035,3443,3653,3661,3708,4770,4919,4966,5222,5227,5347,6491,6643,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
