,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44
T1407,1570,2618,3006,3037,3260,3324,3455,3532,3587,3624,3661,3707,4966,5289,5351,5425,6251,6488,6510,6548,6667,7556,8027,8069,8091,8299,8938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1408,1762,2303,2330,2610,2618,3035,3037,3189,3413,3443,3532,3587,3661,3707,5483,6182,6411,6443,6491,6515,6781,8046,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1411,1301,1305,2313,2330,2337,2344,2610,2618,3035,3037,3189,3443,3529,3532,3533,3587,3653,4966,6271,6411,6488,6491,8028,8046,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1601,2344,2345,2408,2886,2891,3035,3037,3141,3189,3443,3526,3529,3532,3653,3661,3707,5269,5274,5340,6104,6411,6488,6719,6781,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1603,1560,2059,2207,2330,2345,2603,2610,2615,2634,2891,3003,3017,3037,3491,3515,3526,3529,3587,3592,3596,3624,3653,3661,3675,3707,5425,6104,6187,6415,6488,6679,6719,6781,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1608,2330,2344,2368,2382,2481,2603,2618,3017,3035,3037,3044,3059,3293,3443,3491,3529,3533,3596,3624,3653,3661,3675,4966,5274,6104,6121,6271,6488,6491,6669,6781,8046,8069,8255,9939,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1609,1802,2027,2313,2330,2368,2454,2481,2606,2882,2891,3017,3035,3037,3059,3189,3443,3529,3653,3661,3707,4919,5269,5274,6187,6223,6477,6781,8046,8069,8104,8924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1612,2034,2603,2732,3037,3081,3131,3141,3217,3324,3526,3529,3653,3661,3675,3707,4739,5274,5309,5340,5904,6143,6187,6472,6488,6712,6781,6788,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1613,1101,2027,2233,2313,2330,2368,2454,2481,2606,2891,3017,3037,3059,3189,3707,4919,5269,5274,6187,6223,6477,6698,8046,8069,8104,8924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1614,1560,2330,2344,2351,2368,2481,2603,2618,3017,3035,3037,3189,3443,3529,3532,3653,3661,3675,3707,4739,4919,4966,5234,5269,5274,6104,6187,6415,6491,6679,6781,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1701,1565,2236,2308,2313,2317,2330,2454,3034,3035,3037,3189,3529,3533,3567,3653,4945,5220,5439,6274,6488,8046,8109,8942,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1706,1531,1580,1817,2330,2454,2640,3008,3293,3491,3551,3617,3669,4129,4549,4971,5230,5284,6143,6245,6279,6525,8433,8928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1713,1565,2330,3034,3035,3037,3189,3529,3533,3567,3653,4945,5220,5439,6213,6274,6488,8046,8109,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T1802,1101,1216,1476,2027,2303,2308,2317,2330,2337,2351,2382,2421,2454,2912,3008,3037,3105,3324,3443,3533,3665,3711,4551,4966,5871,5904,6147,6274,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2003,1722,2014,2308,2330,2344,2368,2376,2383,2408,2603,3017,3037,3189,3533,3653,3661,3665,4966,5269,5274,6104,6187,6217,6278,6438,8046,8155,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2004,2330,2344,2368,2379,2408,2454,2603,2637,3006,3035,3037,3189,3529,3653,3665,4966,5269,5274,5425,6104,8046,8069,8155,8255,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2005,1537,1560,1722,2027,2313,2330,2368,2603,2883,2884,2886,3017,3037,3529,3665,4536,4919,5274,6104,6278,6438,6491,6592,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2006,2233,2303,2317,2330,2344,2351,2376,2385,2454,2481,2603,2618,2891,3035,3037,3189,3231,3491,3526,3529,3532,3596,3653,3661,4966,5269,8046,8069,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2007,1560,2027,2308,2330,2337,2368,2376,2383,2454,2603,2618,2891,3006,3017,3035,3037,3529,3653,3661,3665,4919,4966,5269,5274,6104,6213,6515,6669,8046,8069,8155,8255,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2030,2308,2330,2337,2344,2368,2379,2408,2454,2603,2637,3006,3035,3037,3189,3324,3443,3653,3665,4966,5269,5274,5425,6104,8046,8069,8155,8255,8299,9802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2036,1560,1722,2303,2308,2313,2330,2368,2408,2618,2884,3006,3017,3035,3037,3526,3529,3665,4919,5274,6104,6278,6438,6592,8046,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2069,1560,1722,2313,2330,2368,2383,2408,2884,3006,3017,3035,3037,3529,3653,3665,4919,4927,5274,6104,6438,6592,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2101,1101,1301,1319,2002,2308,2317,2330,2357,2377,2382,2412,2603,2881,2882,2884,2891,3037,3533,5269,5274,5871,6505,6669,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2203,2014,2330,2344,2351,2368,2481,2603,2609,2618,2886,2891,3017,3035,3037,3529,3532,3533,3653,3675,3707,4919,5269,5274,6104,6271,8046,8183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2208,2002,2330,2344,2351,2368,2481,2603,2609,2618,3006,3017,3035,3036,3037,3529,3532,3533,3653,3707,4919,4966,5269,5274,6104,6182,6271,8046,8299,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2210,1560,2002,2338,2344,2351,2376,2481,2603,2609,2618,3006,3035,3036,3037,3169,3515,3529,3532,3653,3675,3707,5274,6104,6182,6271,6411,8046,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2216,1560,2303,2330,2344,2368,2376,2383,2481,2603,2618,3006,3017,3035,3037,3529,3532,3533,3653,3661,3707,4966,6104,6182,6271,6488,8046,8069,8299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T22C2,1560,2002,2338,2344,2351,2376,2603,2609,2618,3006,3035,3036,3037,3169,3264,3515,3529,3532,3653,3675,3707,6104,6182,6271,6411,6525,8046,8358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2501,2303,2330,2337,2344,2379,2393,2454,2481,2603,2610,3034,3035,3189,3413,3455,3529,4966,5274,5483,6443,6548,8046,8255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2506,1476,2330,2345,2426,2603,2606,2610,2618,3006,3017,3035,3037,3189,3455,3533,3653,3707,4966,5269,5274,6213,6217,8046,8299,8996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2520,2303,2330,2337,2345,2379,2393,2436,2454,2455,2481,2610,3034,3035,3413,3455,3529,3596,4966,5274,5347,6138,6213,6271,6285,6443,6548,8046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2578,1102,1722,2002,2301,2303,2308,2317,2330,2344,2345,2357,2382,2408,2454,2603,2610,2882,2886,2891,3034,3037,3711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2620,1560,1722,1785,2014,2027,2059,2233,2327,2368,2379,2603,2637,3003,3037,3483,3529,3596,3624,3661,3665,3675,4739,4927,5388,6213,6217,6409,8046,8299,8358,8431,9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T2701,1101,1102,2002,2006,2014,2301,2303,2330,2345,2347,2357,2376,2377,2379,2382,2385,2409,2458,2542,2548,2603,2637,2886,3017,3034,3037,3533,3702,3707,5522,6271,6279,6488,6669,8069,8436,NA,NA,NA,NA,NA,NA,NA,NA
T2703,1305,1560,2308,2330,2351,2603,2886,2892,3017,3035,3037,3529,3532,3533,3661,4966,5009,5269,5274,6104,6271,6488,6669,8046,8069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3101,1303,1477,2303,2308,2317,2330,2345,2351,2383,2412,2454,2881,2882,2883,2884,2891,3023,3037,3533,3661,5269,5274,5871,6415,6510,6533,6669,8069,8454,8464,9910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T3201,2303,2330,3017,3037,3443,3529,3532,3533,3653,4919,4966,5483,6415,6488,6515,6669,6781,8046,8464,9802,9914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
