combine,number,0,mkt
s905,4157,太景*-KY,OTC
s906,4160,訊聯基因,OTC
s907,4161,聿新科,OTC
s908,4162,智擎,OTC
s909,4163,鐿鈦,OTC
s910,4164,承業醫,TSE
s911,4167,松瑞藥,OTC
s912,4168,醣聯,OTC
s913,4171,瑞基,OTC
s914,4173,久裕,OTC
s915,4174,浩鼎,OTC
s916,4175,杏一,OTC
s917,4183,福永生技,OTC
s918,4188,安克,OTC
s919,4190,佐登-KY,TSE
s920,4192,杏國,OTC
s921,4198,欣大健康,OTC
s922,4205,中華食,OTC
s923,4207,環泰,OTC
s924,4303,信立,OTC
s925,4304,勝昱,OTC
s926,4305,世坤,OTC
s927,4306,炎洲,TSE
s928,4401,東隆興,OTC
s929,4402,福大,OTC
s930,4406,新昕纖,OTC
s931,4413,飛寶企業,OTC
s932,4414,如興,TSE
s933,4416,三圓,OTC
s934,4417,金洲,OTC
s935,4419,元勝,OTC
s936,4420,光明,OTC
s937,4426,利勤,TSE
s938,4430,耀億,OTC
s939,4432,銘旺實,OTC
s940,4433,興采,OTC
s941,4438,廣越,TSE
s942,4439,冠星-KY,TSE
s943,4440,宜新實業,TSE
s944,4442,竣邦-KY,OTC
s945,4502,健信,OTC
s946,4503,金雨,OTC
s947,4506,崇友,OTC
s948,4510,高鋒,OTC
s949,4513,福裕,OTC
s950,4523,永彰,OTC
s951,4526,東台,TSE
s952,4527,方方土霖,OTC
s953,4528,江興鍛,OTC
s954,4529,淳紳,OTC
s955,4530,宏易,OTC
s956,4532,瑞智,TSE
s957,4533,協易機,OTC
s958,4534,慶騰,OTC
s959,4535,至興,OTC
s960,4536,拓凱,TSE
s961,4538,大詠城,OTC
