,BOP,HT_DCPHASE,MIN,VAR,COS,TAN,PLUS_DM,SIN
58,0.048104256,0.06302196,-0.032601316,0.030406045,-0.01676926,-0.0898573,0.014366917,0.0632826
59,0.06566555,0.06937074,0.08288599,0.011263,0.05377149,0.028539274,0.07143632,0.031282753
60,-0.06376387,-0.054722387,0.02472658,0.015930254,0.02346264,0.00037818338,-0.07769281,0.032877453
61,0.015720675,0.030769393,-0.05333683,0.015298854,-0.022220952,0.050196562,0.09639275,-0.06782654
62,-0.02707289,-0.03876269,0.07261102,0.042804822,0.025048388,-0.009904046,0.06050508,-0.072636485
63,-0.024093853,-0.045517914,0.075867996,-0.060399942,-0.026160667,-0.059667744,-0.073070444,0.0713127
64,0.049958207,-0.04109209,0.07338093,0.022195047,-0.091504894,-0.050820164,-0.041225225,0.07892678
65,-0.057181463,0.077158384,0.03242616,-0.020153265,0.06813781,-0.0014183302,-0.09122837,0.09204091
66,0.023487752,0.024959253,-0.06733165,0.06951838,0.06266308,-0.05180819,0.05887874,0.025874011
67,-0.03357562,0.07056538,0.077034704,0.08913675,-0.08081884,-0.015903825,0.033307787,-0.04912728
68,-0.049361918,0.0032299787,0.033750575,0.012012377,0.08449476,0.055707507,-0.00518658,-0.0029914621
69,0.037371002,0.08689914,0.037749134,-0.03518291,0.0077892127,-0.06019272,0.022964621,-0.10303421
70,-0.017100614,-0.0034253807,0.013094249,0.037426885,-0.037526343,-0.043006048,0.15515935,-0.0060668117
71,0.012583575,-0.010436034,0.038549166,-0.02293901,-0.0034428316,0.0065873764,0.075857304,-0.09685455
72,-0.032328468,0.086800426,0.07693937,0.011477377,0.086122945,0.009029688,-0.033663098,-0.10581517
73,-0.037992436,0.060222693,-0.026852855,-0.049603406,0.0462089,-0.010834335,-0.04918736,0.08583134
74,-0.0063595506,0.002173434,-0.049992073,-0.08257147,-0.03238053,-0.079566695,0.020412508,0.020680672
75,0.028685044,-0.029249106,0.06445017,0.00428683,-0.0767471,0.07485738,-0.038688675,0.008348405
76,-0.06948463,0.030384263,0.022728177,-0.012552184,0.030576184,-0.09169416,-0.0029972852,0.042445946
77,0.0527368,-0.086513706,-0.0037366736,-0.0017078482,-0.0054475814,0.091957904,0.008499991,0.01728136
78,0.0053721396,-0.06858625,0.037540343,0.023240872,-0.032898374,0.08589584,0.042428993,0.04140587
79,0.07715303,-0.021063847,0.026766794,-0.04207816,0.061653454,0.060323995,-0.08644336,-0.026140621
80,-0.005877185,0.06838501,0.058957186,0.0011594389,-0.04762171,-0.024581155,0.012460129,-0.05801986
81,-0.039364837,0.05077782,-0.029912287,-0.03879526,0.08202341,-0.08322121,0.032925043,0.06023168
82,-0.026631597,0.05223712,-0.004241012,0.06326768,-0.087193295,0.020273007,-0.03308633,-0.069488734
83,-0.07613829,0.036993004,0.02369652,0.04790695,0.026559891,-0.036748536,-0.0045779175,0.0060948683
84,-0.06929748,0.0062015546,0.0074002002,-0.00049770996,-0.06659977,0.12189072,0.0053970334,-0.029210113
85,0.07813108,-0.03402851,-0.07655113,-0.042317305,-0.00051919837,-0.056673612,-0.025243035,0.004894355
86,-0.009588036,0.037610743,-0.022693785,-0.07868024,-0.051995452,-0.028464409,0.06266292,0.05119617
87,0.021621153,-0.025258323,-0.027827272,-0.034822647,-0.043149937,0.02934068,0.046273686,-0.03778414
88,0.055488378,-0.015271647,0.023677342,0.08764201,-0.08934019,-0.017861074,0.012172966,-0.053681944
89,0.07836212,-0.04512239,-0.017602379,0.01325476,0.079794906,0.037471645,0.061487302,0.006960259
