,BOP,TSF,SIN,STDDEV,CORREL,TAN,COS
98,0.008946062,-0.0011074092,0.52978426,0.029563762,-0.039064262,0.172367,-0.7552881
99,0.037524413,-0.038268156,0.12937383,-0.01748698,-0.022449689,0.1090788,-0.2518057
100,0.04931002,-0.08657139,0.31407413,0.058057927,0.06787186,0.1488636,-0.53146404
101,-0.06309271,0.08059084,0.05247664,-0.009121703,0.0016328486,-0.07164436,0.02675778
102,0.045378353,-0.0144889485,0.34410945,-0.05017123,0.046628818,0.06072474,-0.36092773
103,0.03975216,-0.014366492,-0.3029643,0.006213357,-0.009772574,-0.062364254,0.28777212
104,-0.035588246,0.029628955,-0.34910694,0.054190867,-0.06978256,-0.17369716,0.5299317
105,-0.037185296,-0.030488944,0.28200972,-0.030864647,0.06768072,0.15229487,-0.4815857
106,-0.03468807,0.07704092,0.068840295,-0.054331735,-0.026796786,-0.026201671,-0.19843796
107,-0.023544142,0.039367147,-0.057003554,-0.008413884,0.0578131,-0.10433698,0.122247905
108,-0.0111409305,0.07865566,0.250896,-0.07886158,0.03661688,0.16884942,-0.23888505
109,0.10216547,-0.05367495,-0.7413035,0.058116008,-0.028585609,-0.20718408,0.94241434
110,0.043065265,-0.068488106,-0.38533685,-0.060484525,-0.06203679,-0.22069563,0.47299102
111,0.024079127,-0.03973685,0.55777305,0.019878741,-0.014120559,0.16561195,-0.74485016
112,-0.05828924,0.042472806,0.02734796,0.034269813,0.0839521,0.08124719,-0.06476099
113,0.032647293,-0.04118303,-0.19875334,-0.027938992,-0.0057328944,-0.117066704,0.3168401
114,-0.12412237,0.00780547,0.51767254,-0.08027217,0.029915903,0.17430174,-0.71051675
115,0.042381417,0.026824197,-0.51844364,-0.0063030105,-0.002820371,-0.29523867,0.6581149
116,-0.08308525,-0.0023024539,0.031429905,-0.077927664,-0.044256825,-0.011523631,0.0065658693
117,0.02256611,0.016947178,-0.84009594,-0.027245333,0.046155505,-0.31352493,1.1043496
118,-0.011622476,-0.0035999336,0.50164133,0.06768111,-0.03702994,0.117954314,-0.51196516
119,0.060594216,0.09031863,-0.16143398,0.021185411,0.049248453,-0.045908976,0.3620127
120,-0.021637447,0.085990004,-0.059699837,0.0012318926,-0.06775052,-0.013600934,0.18544652
121,-0.08362024,-0.04026815,0.5983384,-0.03436219,-0.05842056,0.28196672,-0.6459996
122,-0.03161428,0.0057904674,-0.18937825,0.039965846,-0.044185173,-0.14290969,0.27411854
123,0.006795562,-0.07513894,-0.1919381,-0.027535258,-0.008486085,-0.13282712,0.23039778
